"job_title_short","job_title","company_name","salary_year_avg"
"Data Analyst","Data Analyst","Mantys","650000.0"
"Data Analyst","Director of Analytics","Meta","336500.0"
"Data Analyst","Associate Director- Data Insights","AT&T","255829.5"
"Data Analyst","Data Analyst, Marketing","Pinterest Job Advertisements","232423.0"
"Data Analyst","Data Analyst (Hybrid/Remote)","Uclahealthcareers","217000.0"
"Data Analyst","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"Data Analyst","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"Data Analyst","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"Data Analyst","Principal Data Analyst","SmartAsset","186000.0"
"Data Analyst","ERM Data Analyst","Get It Recruit - Information Technology","184000.0"
